"","actual","predicted","proportion","correct"
"173","mech_auto","mech_hum_traffic",0.152380952380952,FALSE
"174","mech_auto","mech_plane",0.228571428571429,FALSE
"175","mech_auto","mech_siren",0,FALSE
"176","mech_auto","mech_train",0,FALSE
"177","mech_combine","ambient_day",0,FALSE
"178","mech_combine","ambient_night",0.0168067226890756,FALSE
"179","mech_combine","ambient_rain",0,FALSE
"180","mech_combine","ambient_scraping",0,FALSE
"181","mech_combine","goose",0,FALSE
"182","mech_combine","human",0,FALSE
"183","mech_combine","ins_buzz_bee",0.00420168067226891,FALSE
"184","mech_combine","ins_buzz_high",0,FALSE
"185","mech_combine","ins_buzz_low",0,FALSE
"186","mech_combine","ins_trill",0,FALSE
"187","mech_combine","mech_auto",0.046218487394958,FALSE
"188","mech_combine","mech_combine",0.903361344537815,TRUE
"189","mech_combine","mech_hum_traffic",0.0126050420168067,FALSE
"190","mech_combine","mech_plane",0.00420168067226891,FALSE
"191","mech_combine","mech_siren",0.0126050420168067,FALSE
"192","mech_combine","mech_train",0,FALSE
"193","mech_hum_traffic","ambient_day",0.010989010989011,FALSE
"194","mech_hum_traffic","ambient_night",0.0549450549450549,FALSE
"195","mech_hum_traffic","ambient_rain",0,FALSE
"196","mech_hum_traffic","ambient_scraping",0,FALSE
"197","mech_hum_traffic","goose",0,FALSE
"198","mech_hum_traffic","human",0,FALSE
"199","mech_hum_traffic","ins_buzz_bee",0.010989010989011,FALSE
"200","mech_hum_traffic","ins_buzz_high",0,FALSE
"201","mech_hum_traffic","ins_buzz_low",0.021978021978022,FALSE
"202","mech_hum_traffic","ins_trill",0,FALSE
"203","mech_hum_traffic","mech_auto",0.043956043956044,FALSE
"204","mech_hum_traffic","mech_combine",0,FALSE
"205","mech_hum_traffic","mech_hum_traffic",0.857142857142857,TRUE
"206","mech_hum_traffic","mech_plane",0,FALSE
"207","mech_hum_traffic","mech_siren",0,FALSE
"208","mech_hum_traffic","mech_train",0,FALSE
"209","mech_plane","ambient_day",0.25,FALSE
"210","mech_plane","ambient_night",0.111111111111111,FALSE
"211","mech_plane","ambient_rain",0,FALSE
"212","mech_plane","ambient_scraping",0.0277777777777778,FALSE
"213","mech_plane","goose",0,FALSE
"214","mech_plane","human",0,FALSE
"215","mech_plane","ins_buzz_bee",0,FALSE
"216","mech_plane","ins_buzz_high",0,FALSE
"217","mech_plane","ins_buzz_low",0,FALSE
"218","mech_plane","ins_trill",0,FALSE
"219","mech_plane","mech_auto",0.0277777777777778,FALSE
"220","mech_plane","mech_combine",0.0277777777777778,FALSE
"221","mech_plane","mech_hum_traffic",0.0555555555555556,FALSE
"222","mech_plane","mech_plane",0.5,TRUE
"223","mech_plane","mech_siren",0,FALSE
"224","mech_plane","mech_train",0,FALSE
"225","mech_siren","ambient_day",0,FALSE
"226","mech_siren","ambient_night",0.0263157894736842,FALSE
"227","mech_siren","ambient_rain",0,FALSE
"228","mech_siren","ambient_scraping",0,FALSE
"229","mech_siren","goose",0,FALSE
"230","mech_siren","human",0,FALSE
"231","mech_siren","ins_buzz_bee",0,FALSE
"232","mech_siren","ins_buzz_high",0,FALSE
"233","mech_siren","ins_buzz_low",0,FALSE
"234","mech_siren","ins_trill",0,FALSE
"235","mech_siren","mech_auto",0.0526315789473684,FALSE
"236","mech_siren","mech_combine",0,FALSE
"237","mech_siren","mech_hum_traffic",0.0526315789473684,FALSE
"238","mech_siren","mech_plane",0,FALSE
"239","mech_siren","mech_siren",0.815789473684211,TRUE
